City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Gornozavodsk,RU,49.48,few clouds,58.38,58.32,Hotel Kvarotel
2,Kodiak,US,55.4,overcast clouds,57.79,-152.41,Best Western Kodiak Inn and Convention Center
9,Dikson,RU,46.54,clear sky,73.51,80.55,
10,Nikolskoye,RU,66.2,overcast clouds,59.7,30.79,Tourist House - Sablino
11,Rikitea,PF,69.44,broken clouds,-23.12,-134.97,Pension Maro'i
12,Talnakh,RU,57.2,overcast clouds,69.49,88.4,Talnakh Hotel
14,Bredasdorp,ZA,59.0,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
17,Kaitangata,NZ,53.01,light rain,-46.28,169.85,Kaitangata Motor Camp
19,Busselton,AU,45.0,clear sky,-33.65,115.33,Observatory Guest House
21,Bayan,CN,63.54,overcast clouds,46.08,127.4,Wanhao Inn
26,Avarua,CK,71.6,clear sky,-21.21,-159.78,Paradise Inn
27,Khatanga,RU,55.38,overcast clouds,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
28,Kostomuksha,RU,59.86,clear sky,64.57,30.58,Apartments on Lenina 17
29,Hermanus,ZA,57.0,overcast clouds,-34.42,19.23,Misty Waves Boutique Hotel
30,Svetlaya,RU,62.96,overcast clouds,46.54,138.33,
35,Kawalu,ID,71.92,overcast clouds,-7.38,108.21,KOSAN UNGU UNSIK
37,Poltavka,RU,55.2,scattered clouds,54.37,71.76,
38,Inhambane,MZ,68.0,clear sky,-23.86,35.38,Oceano
41,Lezajsk,PL,66.99,few clouds,50.26,22.42,Hotel U Brothers Zygmunts
45,Cape Town,ZA,62.01,overcast clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
46,Wieliczka,PL,73.0,overcast clouds,49.99,20.06,Hotel Górsko
49,Cidreira,BR,62.67,clear sky,-30.18,-50.21,Hotel Castelo
51,Chuy,UY,62.53,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
53,Mar Del Plata,AR,64.4,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
56,Provideniya,RU,49.78,light rain,64.38,-173.3,
58,Margate,GB,71.01,light rain,51.38,1.39,Premier Inn Margate hotel
60,Hofn,IS,57.2,broken clouds,64.25,-15.21,Hótel Höfn
61,Mahebourg,MU,71.6,few clouds,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
62,Richards Bay,ZA,67.62,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
63,Tuktoyaktuk,CA,57.2,scattered clouds,69.45,-133.04,End of The Road Ltd.
64,Leibnitz,AT,72.0,light rain,46.78,15.54,JUFA Hotel Leibnitz – Sport-Resort
67,Olafsvik,IS,52.39,scattered clouds,64.89,-23.71,Hotel Olafsvik
76,Vaini,TO,73.4,few clouds,-21.2,-175.2,Keleti Beach Resort
79,Reconquista,AR,70.79,clear sky,-29.15,-59.65,Grand Hotel
82,Saint-Philippe,RE,71.6,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
83,Grindavik,IS,55.4,overcast clouds,63.84,-22.43,Northern Light Inn & Max's Restaurant
84,Alice Springs,AU,51.8,clear sky,-23.7,133.88,Desert Palms Alice Springs
85,Castro,BR,58.14,scattered clouds,-24.79,-50.01,CHACARA BAILLY
86,Torbay,CA,72.0,few clouds,47.67,-52.73,Gallows Cove
91,Lircay,PE,71.6,scattered clouds,-12.99,-74.72,Hostal Escobar
95,Esperance,AU,50.0,overcast clouds,-33.87,121.9,Hospitality Esperance
97,Kodinsk,RU,54.54,overcast clouds,58.69,99.18,
99,Parana,AR,72.0,clear sky,-31.73,-60.52,Howard Johnson Plaza Hotel Mayorazgo
100,Longyearbyen,SJ,48.2,few clouds,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
101,Usinsk,RU,47.75,broken clouds,65.99,57.53,Dobro Pozhalovaty
103,Pangody,RU,56.44,broken clouds,65.85,74.49,Elizaveta Shevchuk's House
105,Sisimiut,GL,48.16,clear sky,66.94,-53.67,Hotel Sisimiut
108,Ennis,IE,60.8,broken clouds,52.84,-8.99,Auburn Lodge Hotel
112,Irbeyskoye,RU,54.37,scattered clouds,55.64,95.45,"Gostinitsa ""Agul"""
114,Yellowknife,CA,55.99,scattered clouds,62.46,-114.35,The Explorer Hotel
116,Nanortalik,GL,47.32,clear sky,60.14,-45.24,"NTS Rooms, Nanortalik"
120,Kimbe,PG,73.24,moderate rain,-5.55,150.14,Kimbe Bay Hotel
122,Dunedin,NZ,48.99,light rain,-45.87,170.5,Scenic Hotel Southern Cross
125,East London,ZA,63.64,few clouds,-33.02,27.91,Tu Casa
126,Carmo Do Rio Claro,BR,68.52,broken clouds,-20.97,-46.12,Varandas da Montanha Hotel
129,Klaksvik,FO,48.2,light rain,62.23,-6.59,Geilin Bed & Breakfast
131,Ilulissat,GL,46.4,clear sky,69.22,-51.1,Hotel Arctic
133,Shuya,RU,62.17,broken clouds,56.85,41.39,Grand Hotel Shuya
134,Oruro,BO,57.02,clear sky,-17.98,-67.15,Eden by BlueBay
137,Sitka,US,55.4,light intensity drizzle,57.05,-135.33,Westmark Sitka
141,Osakarovka,KZ,55.51,broken clouds,50.56,72.57,Motel' Osakarovka
144,Coquimbo,CL,57.2,scattered clouds,-29.95,-71.34,Hotel San Juan
145,Khani,GE,69.8,thunderstorm,41.96,42.96,კურორტი ზეკარი/Resort Zekari
146,Mokhotlong,LS,49.57,clear sky,-29.29,29.07,Mokhotlong Hotel
147,Airai,TL,57.02,broken clouds,-8.93,125.41,Juvinal Martin
148,Husavik,IS,51.8,overcast clouds,66.04,-17.34,Bjarnabúð
150,Gerede,TR,57.96,clear sky,40.8,32.2,Hotel Konuk
151,Charcas,MX,68.74,light rain,23.13,-101.12,Hotel El Malacate
152,Pacific Grove,US,72.0,smoke,36.62,-121.92,Lovers Point Inn
153,Cajabamba,PE,66.47,few clouds,-7.62,-78.05,HOSTAL LA ALAMEDA
154,Lima,PE,62.6,overcast clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
158,Port Hardy,CA,53.6,overcast clouds,50.7,-127.42,Airport Inn
159,Oksfjord,NO,60.8,broken clouds,70.24,22.35,Bobo
161,Bichura,RU,55.44,overcast clouds,50.59,107.6,Gostinitsa Uyut
163,Bonavista,CA,64.99,clear sky,48.65,-53.11,Abbott's Bed & Breakfast
164,Flinders,AU,51.01,clear sky,-34.58,150.86,Shellharbour Resort & Conference Centre
165,Arraial Do Cabo,BR,73.4,scattered clouds,-22.97,-42.03,Pousada Porto Praia
166,Tura,IN,74.77,light rain,25.52,90.22,Hotel RIKMAN Continental
168,Yulara,AU,62.6,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
172,Mwinilunga,ZM,71.02,few clouds,-11.74,24.43,Kwakuwahi Lodge
