City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rocha,UY,2020-08-22 19:34:41,-34.48,-54.33,57.9,62,0,4.56
1,Georgetown,MY,2020-08-22 19:29:54,5.41,100.34,80.6,88,40,1.48
2,Krapkowice,PL,2020-08-22 19:34:41,50.48,17.97,66.99,96,100,1.01
3,Avarua,CK,2020-08-22 19:34:41,-21.21,-159.78,73.4,83,64,8.05
4,Esperance,AU,2020-08-22 19:34:42,-33.87,121.9,50.0,87,40,12.75
5,Clyde River,CA,2020-08-22 19:34:42,70.47,-68.59,49.86,70,99,7.02
6,Bambous Virieux,MU,2020-08-22 19:34:42,-20.34,57.76,69.8,83,40,11.41
7,Astoria,US,2020-08-22 19:32:03,46.19,-123.83,68.0,68,20,5.82
8,Cherskiy,RU,2020-08-22 19:34:42,68.75,161.3,37.85,94,100,21.54
9,Kapaa,US,2020-08-22 19:34:43,22.08,-159.32,84.2,66,1,14.99
10,Mount Gambier,AU,2020-08-22 19:34:43,-37.83,140.77,44.6,87,75,12.75
11,Hithadhoo,MV,2020-08-22 19:34:43,-0.6,73.08,83.35,79,0,14.52
12,Punta Arenas,CL,2020-08-22 19:33:17,-53.15,-70.92,46.4,65,40,23.04
13,Rikitea,PF,2020-08-22 19:34:44,-23.12,-134.97,66.83,71,64,19.46
14,Boende,CD,2020-08-22 19:34:44,-0.22,20.87,73.6,91,100,2.19
15,Dicabisagan,PH,2020-08-22 19:34:44,17.08,122.42,79.43,82,98,4.09
16,Saint-Philippe,RE,2020-08-22 19:34:44,-21.36,55.77,71.6,68,35,9.17
17,Bluff,NZ,2020-08-22 19:34:45,-46.6,168.33,39.0,97,97,1.99
18,Busselton,AU,2020-08-22 19:34:45,-33.65,115.33,50.0,84,69,11.1
19,Ribeira Grande,PT,2020-08-22 19:34:45,38.52,-28.7,73.4,78,40,6.93
20,Albany,US,2020-08-22 19:30:25,42.6,-73.97,86.0,44,11,8.86
21,Puerto Ayora,EC,2020-08-22 19:34:45,-0.74,-90.35,75.2,60,67,17.22
22,Vaini,TO,2020-08-22 19:34:46,-21.2,-175.2,75.2,94,20,6.93
23,Sinop,TR,2020-08-22 19:34:46,41.77,34.87,62.02,64,0,2.89
24,Manjacaze,MZ,2020-08-22 19:34:46,-24.71,33.88,58.55,94,0,5.1
25,Qaanaaq,GL,2020-08-22 19:34:47,77.48,-69.36,38.23,80,100,3.56
26,Coquimbo,CL,2020-08-22 19:34:47,-29.95,-71.34,51.8,81,90,8.05
27,Lusambo,CD,2020-08-22 19:34:47,-4.97,23.45,76.5,74,100,3.29
28,Mitsamiouli,KM,2020-08-22 19:34:47,-11.38,43.28,77.0,78,20,4.27
29,Butaritari,KI,2020-08-22 19:34:48,3.07,172.79,82.72,65,84,6.98
30,Olafsvik,IS,2020-08-22 19:34:48,64.89,-23.71,51.75,68,8,8.9
31,Cabinda,AO,2020-08-22 19:34:48,-5.55,12.2,74.16,86,34,7.96
32,Hobart,AU,2020-08-22 19:34:48,-42.88,147.33,46.4,81,75,21.92
33,Klaksvik,FO,2020-08-22 19:34:48,62.23,-6.59,46.4,93,100,24.16
34,Dikson,RU,2020-08-22 19:34:49,73.51,80.55,48.04,76,72,7.54
35,Loreto,MX,2020-08-22 19:31:31,22.27,-101.97,79.57,31,57,15.28
36,Thames,NZ,2020-08-22 19:34:49,-37.13,175.53,55.0,98,9,2.95
37,Puerto Padre,CU,2020-08-22 19:34:50,21.2,-76.6,91.4,59,75,4.7
38,Tiksi,RU,2020-08-22 19:34:50,71.69,128.87,40.37,90,100,6.87
39,Gogrial,SS,2020-08-22 19:34:50,8.53,28.1,74.95,88,14,3.8
40,Cravo Norte,CO,2020-08-22 19:34:50,6.3,-70.2,79.09,82,99,6.8
41,Mount Isa,AU,2020-08-22 19:34:51,-20.73,139.5,57.2,47,3,14.99
42,Mataura,NZ,2020-08-22 19:34:51,-46.19,168.86,39.0,97,96,1.99
43,New Norfolk,AU,2020-08-22 19:34:51,-42.78,147.06,44.01,91,100,1.99
44,Baykit,RU,2020-08-22 19:34:51,61.67,96.37,57.42,86,100,3.11
45,Carnarvon,AU,2020-08-22 19:34:51,-24.87,113.63,66.2,68,97,9.17
46,Moron,AR,2020-08-22 19:34:52,-34.65,-58.62,66.0,27,0,12.75
47,San Vicente,AR,2020-08-22 19:34:52,-26.62,-54.13,59.18,56,0,3.56
