City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Gornozavodsk,RU,2020-08-23 17:20:24,58.38,58.32,49.48,93,17,3.22,few clouds
1,Havelock,US,2020-08-23 17:18:39,34.88,-76.9,86.0,62,20,6.93,few clouds
2,Kodiak,US,2020-08-23 17:19:34,57.79,-152.41,55.4,87,90,3.36,overcast clouds
3,Najran,SA,2020-08-23 17:20:05,17.49,44.13,96.8,16,100,6.93,overcast clouds
4,Acapulco,MX,2020-08-23 17:17:16,16.86,-99.89,82.4,83,75,3.36,broken clouds
5,Arman,RU,2020-08-23 17:20:25,59.7,150.17,40.37,70,0,10.04,clear sky
6,Eyl,SO,2020-08-23 17:20:25,7.98,49.82,77.79,70,54,28.74,broken clouds
7,Ushuaia,AR,2020-08-23 17:19:12,-54.8,-68.3,35.6,74,40,11.41,scattered clouds
8,Mataura,NZ,2020-08-23 17:19:32,-46.19,168.86,44.01,91,46,3.0,scattered clouds
9,Dikson,RU,2020-08-23 17:19:23,73.51,80.55,46.54,78,0,9.64,clear sky
10,Nikolskoye,RU,2020-08-23 17:19:13,59.7,30.79,66.2,72,90,8.95,overcast clouds
11,Rikitea,PF,2020-08-23 17:19:14,-23.12,-134.97,69.44,83,84,22.28,broken clouds
12,Talnakh,RU,2020-08-23 17:19:27,69.49,88.4,57.2,93,100,6.71,overcast clouds
13,Hobart,AU,2020-08-23 17:14:15,-42.88,147.33,42.8,85,40,5.82,scattered clouds
14,Bredasdorp,ZA,2020-08-23 17:19:36,-34.53,20.04,59.0,82,100,4.7,overcast clouds
15,Hilo,US,2020-08-23 17:18:28,19.73,-155.09,75.2,88,75,3.62,broken clouds
16,Luderitz,NA,2020-08-23 17:20:27,-26.65,15.16,61.02,67,0,15.37,clear sky
17,Kaitangata,NZ,2020-08-23 17:19:19,-46.28,169.85,53.01,89,98,15.01,light rain
18,Jamestown,US,2020-08-23 17:19:15,42.1,-79.24,77.0,83,75,3.36,broken clouds
19,Busselton,AU,2020-08-23 17:19:15,-33.65,115.33,45.0,76,1,4.83,clear sky
